ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,,,Strawson,P. F.,,1962,,,48,,,1–25,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,août,Sugiyama,Leda,août,2016,,,17,,,,,,,,,,Cosmides,,7,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,Les lois,Tarde,,Les lois de l’imitation,,,,,,,,Étude sociologique,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,Washington,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,mars,Trivers,Robert L.,mars,2016,,,46,,,35-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,Primitive culture,Tylor,Edward,Primitive culture : researches into the development of mythology,1871,,,,,,,"philosophy, religion, art, and custom",,,,,,London,,,,Burnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,https://www.uscirf.gov/publication/2023-annual-report Consulté le 17 septembre,https://www.uscirf.gov/publication/2023-annual-report Consulté,USCIRF,,Annual Report 2023,2023,,,,,,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,Origin,The,,1906,,,,,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,,,Strawson,P. F.,,1962,,,48,,,1–25,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,août,Sugiyama,Leda,août,2016,,,17,,,,,,,,,,Cosmides,,7,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,Les lois,Tarde,,Les lois de l’imitation,,,,,,,,Étude sociologique,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,Washington,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,mars,Trivers,Robert L.,mars,2016,,,46,,,35-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,Primitive culture,Tylor,Edward,Primitive culture : researches into the development of mythology,1871,,,,,,,"philosophy, religion, art, and custom",,,,,,London,,,,Burnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,https://www.uscirf.gov/publication/2023-annual-report Consulté le 17 septembre,https://www.uscirf.gov/publication/2023-annual-report Consulté,USCIRF,,Annual Report 2023,2023,,,,,,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,Origin,The,,1906,,,,,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,,,Strawson,P. F.,,1962,,,48,,,1–25,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,août,Sugiyama,Leda,août,2016,,,17,,,,,,,,,,Cosmides,,7,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,Les lois,Tarde,,Les lois de l’imitation,,,,,,,,Étude sociologique,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,Washington,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,mars,Trivers,Robert L.,mars,2016,,,46,,,35-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,Primitive culture,Tylor,Edward,Primitive culture : researches into the development of mythology,1871,,,,,,,"philosophy, religion, art, and custom",,,,,,London,,,,Burnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,https://www.uscirf.gov/publication/2023-annual-report Consulté le 17 septembre,https://www.uscirf.gov/publication/2023-annual-report Consulté,USCIRF,,Annual Report 2023,2023,,,,,,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,Origin,The,,1906,,,,,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,Freedom and Resentment,Freedom and Resentment,Strawson,P. F.,,1962,,,48,,,1–25,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,août,Sugiyama,Leda,août,2016,,,17,,,,,,,,,,Cosmides,,7,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,Les lois,Tarde,,Les lois de l’imitation,,,,,,,,Étude sociologique,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,Washington,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,mars,Trivers,Robert L.,mars,2016,,,46,,,35-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,Primitive culture,Tylor,Edward,Primitive culture : researches into the development of mythology,1871,,,,,,,"philosophy, religion, art, and custom",,,,,,London,,,,Burnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,https://www.uscirf.gov/publication/2023-annual-report Consulté le 17 septembre,https://www.uscirf.gov/publication/2023-annual-report Consulté,USCIRF,,Annual Report 2023,2023,,,,,,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,Origin,The,,1906,,,,,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,,,Strawson,P. F.,,1962,,,48,,,1–25,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,août,Sugiyama,Leda,août,2016,,,17,,,,,,,,,,Cosmides,,7,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,Les lois,Tarde,,Les lois de l’imitation,,,,,,,,Étude sociologique,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,Washington,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,mars,Trivers,Robert L.,mars,2016,,,46,,,35-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,Primitive culture,Tylor,Edward,Primitive culture : researches into the development of mythology,1871,,,,,,,"philosophy, religion, art, and custom",,,,,,London,,,,Burnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,https://www.uscirf.gov/publication/2023-annual-report Consulté le 17 septembre,https://www.uscirf.gov/publication/2023-annual-report Consulté,USCIRF,,Annual Report 2023,2023,,,,,,,,,,,,,Washington DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,Origin,The,,1906,,,,,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,“Adolescent Moral Reasoning: The Integration of Emotion and Cognition”,“Adolescent Moral,Baird,Abigail A.,,2008,,,,,,323-341,,,,,,,,,,,Sinnot-Armstrong,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,,Bauman,Christian,,,2013,,72,,3,633-653,,,,,,,,,"Globalization, Conversion, and the Coterminal Castes and Tribes ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,,BBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,Consulté le 05-05-2023,Consulté le,BBC,,Par Larry Bleiberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,Salmon,Beaumanoir,,Salmon,,1899/1900,,,,,,,,,,,,Paris ,,,,,Philippe,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,Jeremy,Jeremy,Bentham,,"A Comment on the Commentaries and A Fragment on Government. The Collected Works of Jeremy Bentham, Vol. 2. J.H. Burns & H.L.A. Hart eds",2008,,,,,,,,,,,,,Oxford ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,Dictionnaire d’éthique,Berten,André,Dictionnaire d’éthique et de philosophie morale,2004,,,,,,,,,,,,,Paris ,,,,Canto-Sperber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,The Origins,Babies,Paul,The Origins of Good and Evil,2013,,,,,,,,,,,,,London ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,TYPEOFPUBLICATION,TITLE,SHORTTITLE,AUTHORNAME,AUTHORFIRSTNAME,PUBLICATIONNAME,PUBLICATIONYEAR,FIRSTYEAROFPUBLICATION,MONTH,VOLUME,ISSUE,NUMBER,PAGERANGE,SERIESTITLE,JOURNALABBREVIATION,DOI,ISBN/ISSN,URL,ACCESSEDDATE,PLACEOFPUBLICATION,PUBLISHINGHOUSE,EDITION,PUBLICATIONDATE,EDITORNAME,EDITORFIRSTNAME,UNIVERSITY,CONFERENCE,DATABASE,INFOSUPPLEMENTARY,DURATIONMINUTES,TYPEOFWORK,VERSION,MEDIASUPPORT,TRANSLATORFIRSTNAME,CONTRIBUTOR1FIRSTNAME,CONTRIBUTOR2FIRSTNAME,OPTIONS,CAPACITY,TRANSLATORNAME,NUMBEROFVOLUMES,MULTIVOLUMENUMBER,SERIESVOLUME,SERIESNUMBER,CONTRIBUTOR2NAME,BOOK,MUTIVOLUMENAME,CONTRIBUTOR1NAME,PLACE,TOTALNUMBEROFPAGES,DEPOSITYEARTHESES,SCIENTIFICDISCIPLINE,UPDATEDDATE
0,0,,,Dewey,John,,1920,,,,,,,Reconstruction in Philosophy,,,,,,New York,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,
1,0,,"Ethics, Revised",Tufts,James H.,"Ethics, Revised Edition",1932,,,,,,,,,,,,,New York,,,,Dewey,John,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,Decennial Publications of the University of Chicago,Decennial Publications,Dewey,John,,1903,,,3,,,115-139,,,,,https://brocku.ca/MeadProject/Dewey/Dewey_1903.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,"Guns, Germs and Steel, The Fates of Human Societies","Guns, Germs",Diamond,Jared,,1999,,,,,,,,,,,,,New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,Serge Braudo,Dictionnaire du droit privé,,Serge Braudo,,,,,,,10-03-2023,Définition de Présomption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,Essais sur,Dumont,Louis,Essais sur l’individualisme,1985,,,,,,,,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,Homo hierarchicus.,Dumont,Louis,Homo hierarchicus. Le système des castes et ses implications,1966,,,,,,,,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,Communication faite,Durkheim,Émile,"Communication faite au Congrès international de Philosophie de Bologne le 6 avril 1911, in Revue de Métaphysique et de Morale",,,,,,,3 juillet 1911.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,,Durkheim,Émile,,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,Revue Philosophique,Durkheim,Émile,Revue Philosophique de la France et de l’Étranger,2017,1887,,,,,275-284,,,,,http://www.jstor.org/stable/41072894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,Étude sur,Durkheim,Émile,Étude sur l’organisation des sociétés supérieures,,,,,,,,,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,L’éducation morale,Durkheim,Émile,L’éducation morale,1934,,,,,,,,,,,,,Paris ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,Physique des,Durkheim,Émile,Physique des mœurs et du droit,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,La servitude,Eurojuris,,La servitude de passage et la prescription trentenaire,,,,,,,10-03-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,,Kirche in Deutschland,Evangelische,,,18/19-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,,Fauvarque-Cosson,Bénédicte,,,,,11.3 Electronic Journal of Comparative,,,,,,,,,,,,,,December 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,"Human Cooperation,",Reciprocity,Simon,"Human Cooperation, and the Enforcement of Social Norms ",2002,,,13,,1,1-25,,,,,,,Urs,,,,Fehr,Ernst,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,,Fox,,,2008,,,,,,313-316,& Melanie Killen,,,,,,,,,,Sinnot-Armstrong,Nathan A.,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,"Mind, Vol",Frankena,,"Mind, Vol",2016,,October,48,,192,464-477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,The Normative Structure of the Ordinary,The Normative,Frega,Roberto,European Journal of Pragmatism and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,,American Philosophy,,,,,,,,,,,,10.4000/ejpap.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,Anne Warfield,Garfinkel,Harold,Anne Warfield Rawls,2002,,,,,,,,,,,,,Lanham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,,Studies in,Garfinkel,Harold,Studies in Ethnomethodology,1967,,,,,,,,,,,,,"Englewood Cliffs, NJ ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,,Recueils de,Gilisen,John,Recueils de la Société Jean Bodin,1989,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,,,Ginsberg,Morris,,2017,1951,,,,3,210-218,,,,,http://www.jstor.org/stable/586721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,,,Gintis,Herbert,,,,,,,,169-179,,,,,,,2000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,,,Goffman,Erving,,1982,,,48,,,1-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,,Relations in,Goffman,Erving,"Relations in Public, Microstudies of the Public Order",1971,,,,,,,,,,,,,New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,,The Presentation,Goffman,Erving,The Presentation of the Self in Everyday Life,,,,,,,,,,,,,,London ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,,,Lewontin,R. C.,,1979,,,205,,,581-598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,,,Greene,Joshua D.,,2008,,,,,,35-79,,,,,,,,,,,Sinnot-Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,,,Greenhouse,Carol J.,,,,,,,,,,,,,,,Oxford ,,,,Didier Fassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,,Revue générale,Guillemard,Sylvette,"Revue générale de droit, 24(3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,,,Gyldendal,,,,,,,,,23-04-2020,Den Store Danske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,,,The Evolution of Moral Understanding,C. R.,,,,,,,,,,,,,,,London ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
